# participant_id	file_id	time_pressure	dilation_radius	dsc
1	105025	15	1	0.550777
1	105025	15	2	0.523014
1	105025	15	3	0.477752
1	105025	15	4	0.489698
1	106005	15	0	0.514812
1	106005	15	1	0.498559
1	106005	15	2	0.486015
1	106005	15	3	0.510803
1	106005	15	4	0.512806
1	106024	25	0	0.277285
1	106024	25	1	0.375790
1	106024	25	2	0.303936
1	106024	25	3	0.310881
1	106024	25	4	0.276570
1	106025	40	0	0.657213
1	106025	40	1	0.673636
1	106025	40	2	0.657771
1	106025	40	3	0.674919
1	106025	40	4	0.682584
1	107014	25	0	0.723098
1	107014	25	1	0.753354
1	107014	25	2	0.745345
1	107014	25	3	0.736169
1	107014	25	4	0.738328
1	107045	40	0	0.348356
1	107045	40	1	0.382355
1	107045	40	2	0.583445
1	107045	40	3	0.583335
1	107045	40	4	0.639744
1	108069	40	0	0.489078
1	108069	40	1	0.534197
1	108069	40	2	0.557683
1	108069	40	3	0.633463
1	108069	40	4	0.645433
1	108082	40	0	0.847565
1	108082	40	1	0.808442
1	108082	40	2	0.805882
1	108082	40	3	0.837347
1	108082	40	4	0.856839
1	109053	25	0	0.343605
1	109053	25	1	0.405439
1	109053	25	2	0.377480
1	109053	25	3	0.525514
1	109053	25	4	0.523551
1	112090	15	0	0.544103
1	112090	15	1	0.761858
1	112090	15	2	0.750035
1	112090	15	3	0.756095
1	112090	15	4	0.791055
1	123057	25	0	0.631468
1	123057	25	1	0.557312
1	123057	25	2	0.546499
1	123057	25	3	0.549872
1	123057	25	4	0.521934
1	123074	40	0	0.441907
1	123074	40	1	0.508152
1	123074	40	2	0.477386
1	123074	40	3	0.516795
1	123074	40	4	0.555183
1	130014	25	0	0.635605
1	130014	25	1	0.531184
1	130014	25	2	0.489986
1	130014	25	3	0.471502
1	130014	25	4	0.442568
1	130066	15	0	0.574152
1	130066	15	1	0.624892
1	130066	15	2	0.636650
1	130066	15	3	0.658947
1	130066	15	4	0.755053
1	134067	15	0	0.502638
1	134067	15	1	0.526741
1	134067	15	2	0.540314
1	134067	15	3	0.533399
1	134067	15	4	0.527100
1	135037	15	0	0.920420
1	135037	15	1	0.929169
1	135037	15	2	0.931460
1	135037	15	3	0.931602
1	135037	15	4	0.933043
1	141012	15	0	0.945571
1	141012	15	1	0.900695
1	141012	15	2	0.738643
1	141012	15	3	0.708244
1	141012	15	4	0.671994
1	141048	25	0	0.625677
1	141048	25	1	0.641997
1	141048	25	2	0.681490
1	141048	25	3	0.701656
1	141048	25	4	0.715402
1	159002	25	0	0.712410
1	159002	25	1	0.733863
1	159002	25	2	0.641371
1	159002	25	3	0.656801
1	159002	25	4	0.655146
1	159022	25	0	0.795493
1	159022	25	1	0.778581
1	159022	25	2	0.800852
1	159022	25	3	0.807808
1	159022	25	4	0.804557
1	159029	40	0	0.480913
1	159029	40	1	0.582123
1	159029	40	2	0.633981
1	159029	40	3	0.677703
1	159029	40	4	0.719097
1	159045	25	0	0.618653
1	159045	25	1	0.480172
1	159045	25	2	0.425760
1	159045	25	3	0.465016
1	159045	25	4	0.455905
1	159091	40	0	0.903257
1	159091	40	1	0.898544
1	159091	40	2	0.895376
1	159091	40	3	0.884184
1	159091	40	4	0.880302
1	160067	25	0	0.858898
1	160067	25	1	0.773966
1	160067	25	2	0.786298
1	160067	25	3	0.783149
1	160067	25	4	0.757822
1	164046	15	0	0.320819
1	164046	15	1	0.312718
1	164046	15	2	0.382518
1	164046	15	3	0.386073
1	164046	15	4	0.413492
1	167062	40	0	0.697708
1	167062	40	1	0.685396
1	167062	40	2	0.712197
1	167062	40	3	0.612062
1	167062	40	4	0.510862
1	168084	15	0	0.726695
1	168084	15	1	0.656055
1	168084	15	2	0.660656
1	168084	15	3	0.665931
1	168084	15	4	0.668708
1	175083	40	0	0.601892
1	175083	40	1	0.534095
1	175083	40	2	0.503955
1	175083	40	3	0.446418
1	175083	40	4	0.465599
1	183066	25	0	0.856866
1	183066	25	1	0.785976
1	183066	25	2	0.793676
1	183066	25	3	0.781008
1	183066	25	4	0.758810
1	196015	15	0	0.234714
1	196015	15	1	0.182758
1	196015	15	2	0.143694
1	196015	15	3	0.137451
1	196015	15	4	0.145380
1	196027	15	0	0.205891
1	196027	15	1	0.205891
1	196027	15	2	0.205891
1	196027	15	3	0.205891
1	196027	15	4	0.205891
1	196040	40	0	0.764120
1	196040	40	1	0.734730
1	196040	40	2	0.701733
1	196040	40	3	0.742919
1	196040	40	4	0.759988
1	202000	40	0	0.606490
1	202000	40	1	0.502555
1	202000	40	2	0.475871
1	202000	40	3	0.501168
1	202000	40	4	0.486510
1	209070	15	0	0.467826
1	209070	15	1	0.366876
1	209070	15	2	0.530733
1	209070	15	3	0.501432
1	209070	15	4	0.535486
1	236017	40	0	0.425837
1	236017	40	1	0.426781
1	236017	40	2	0.462727
1	236017	40	3	0.498834
1	236017	40	4	0.515747
1	247085	40	0	0.920428
1	247085	40	1	0.926855
1	247085	40	2	0.940242
1	247085	40	3	0.946183
1	247085	40	4	0.950789
1	253092	40	0	0.926990
1	253092	40	1	0.887877
1	253092	40	2	0.921870
1	253092	40	3	0.939879
1	253092	40	4	0.942552
1	268074	15	0	0.235560
1	268074	15	1	0.266948
1	268074	15	2	0.339183
1	268074	15	3	0.328526
1	268074	15	4	0.317739
1	304034	40	0	0.819256
1	304034	40	1	0.831123
1	304034	40	2	0.824094
1	304034	40	3	0.841039
1	304034	40	4	0.850482
1	317043	25	0	0.347754
1	317043	25	1	0.462497
1	317043	25	2	0.429472
1	317043	25	3	0.372971
1	317043	25	4	0.420383
1	326025	25	0	0.662966
1	326025	25	1	0.642949
