# participant_id	file_id	time_pressure	dilation_radius	dsc
1	69022	15	1	0.387193
1	69022	15	2	0.387296
1	69022	15	3	0.387485
1	69022	15	4	0.387734
1	70011	15	0	0.003321
1	70011	15	1	0.018574
1	70011	15	2	0.046656
1	70011	15	3	0.094964
1	70011	15	4	0.155963
1	77062	40	0	0.002960
1	77062	40	1	0.015441
1	77062	40	2	0.038158
1	77062	40	3	0.083902
1	77062	40	4	0.134725
1	87046	25	0	0.280240
1	87046	25	1	0.280284
1	87046	25	2	0.280372
1	87046	25	3	0.280558
1	87046	25	4	0.280772
1	100007	25	0	0.069185
1	100007	25	1	0.069209
1	100007	25	2	0.069256
1	100007	25	3	0.069348
1	100007	25	4	0.944801
1	100039	15	0	0.218828
1	100039	15	1	0.218880
1	100039	15	2	0.218979
1	100039	15	3	0.219164
1	100039	15	4	0.219397
1	103006	25	0	0.440110
1	103006	25	1	0.440317
1	103006	25	2	0.440700
1	103006	25	3	0.441481
1	103006	25	4	0.442419
1	103078	40	0	0.004586
1	103078	40	1	0.023709
1	103078	40	2	0.060528
1	103078	40	3	0.127780
1	103078	40	4	0.203516
1	104010	40	0	0.471986
1	104010	40	1	0.472254
1	104010	40	2	0.472802
1	104010	40	3	0.473864
1	104010	40	4	0.475186
1	104055	25	0	0.004117
1	104055	25	1	0.019895
1	104055	25	2	0.050263
1	104055	25	3	0.097758
1	104055	25	4	0.157000
1	105025	15	0	0.360292
1	105025	15	1	0.360370
1	105025	15	2	0.360552
1	105025	15	3	0.360846
1	105025	15	4	0.361243
1	106005	15	0	0.214924
1	106005	15	1	0.214964
1	106005	15	2	0.215043
1	106005	15	3	0.215204
1	106005	15	4	0.215407
1	106024	25	0	0.160589
1	106024	25	1	0.160632
1	106024	25	2	0.160707
1	106024	25	3	0.160865
1	106024	25	4	0.161059
1	106025	40	0	0.001886
1	106025	40	1	0.010665
1	106025	40	2	0.026377
1	106025	40	3	0.697314
1	106025	40	4	0.702871
1	107014	25	0	0.352253
1	107014	25	1	0.352394
1	107014	25	2	0.352663
1	107014	25	3	0.353190
1	107014	25	4	0.353841
1	107045	40	0	0.004185
1	107045	40	1	0.021436
1	107045	40	2	0.054902
1	107045	40	3	0.112542
1	107045	40	4	0.175294
1	108069	40	0	0.002303
1	108069	40	1	0.012794
1	108069	40	2	0.031055
1	108069	40	3	0.067324
1	108069	40	4	0.108937
1	108082	40	0	0.414475
1	108082	40	1	0.414690
1	108082	40	2	0.415102
1	108082	40	3	0.415943
1	108082	40	4	0.416970
1	109053	25	0	0.266541
1	109053	25	1	0.266665
1	109053	25	2	0.266901
1	109053	25	3	0.267371
1	109053	25	4	0.267940
1	112090	15	0	0.000808
1	112090	15	1	0.004197
1	112090	15	2	0.010939
1	112090	15	3	0.023182
1	112090	15	4	0.039404
1	123057	25	0	0.001933
1	123057	25	1	0.010874
1	123057	25	2	0.027389
1	123057	25	3	0.058058
1	123057	25	4	0.094041
1	123074	40	0	0.004879
1	123074	40	1	0.026457
1	123074	40	2	0.065534
1	123074	40	3	0.138100
1	123074	40	4	0.221275
1	130014	25	0	0.231959
1	130014	25	1	0.232028
1	130014	25	2	0.232170
1	130014	25	3	0.232446
1	130014	25	4	0.232796
1	130066	15	0	0.370063
